# Detailed stats OFICIAIS da HLTV, POR MAPA, transcritos do que o Pedro colou em 2026-09-21 e 2026-09-22.
# Uma linha por jogador e mapa, na ordem da página. Colunas: Op. K-D (op_k, op_d), MKs, KAST, 1vsX,
# K (hs), A (f), D (t), ADR, Swing, Rating 3.0. O casamento com a partida do corpus NÃO usa estes
# números: sai de mapa + elenco + número de rounds (ver scripts/importa_detalhado_mapas.py).
serie	mapa	time	jogador	op_k	op_d	mk	kast_pct	clutches	kills	hs	assist	assist_flash	mortes	trocadas	adr	swing	rating
navi-spirit-katowice-2025-02-03	mirage	Natus Vincere	iM	4	3	4	76.2	0	19	11	6	1	13	4	94.7	4.28	1.54
navi-spirit-katowice-2025-02-03	mirage	Natus Vincere	b1t	2	1	4	71.4	1	16	14	6	0	14	4	87.6	6.49	1.39
navi-spirit-katowice-2025-02-03	mirage	Natus Vincere	jL	2	2	4	76.2	0	15	10	6	1	14	4	88.9	0.98	1.19
navi-spirit-katowice-2025-02-03	mirage	Natus Vincere	w0nderful	1	1	4	66.7	0	12	4	2	1	12	1	55.6	0.69	0.93
navi-spirit-katowice-2025-02-03	mirage	Natus Vincere	Aleksib	2	3	3	61.9	1	12	3	6	2	15	3	52.3	-3.88	0.80
navi-spirit-katowice-2025-02-03	mirage	Spirit	zont1x	2	0	5	76.2	0	18	5	3	0	15	3	96.7	4.01	1.53
navi-spirit-katowice-2025-02-03	mirage	Spirit	donk	1	1	3	76.2	1	17	11	8	0	15	4	98.3	4.03	1.43
navi-spirit-katowice-2025-02-03	mirage	Spirit	sh1ro	2	1	3	61.9	0	13	4	1	1	11	0	65.9	1.88	1.02
navi-spirit-katowice-2025-02-03	mirage	Spirit	magixx	2	3	3	61.9	0	13	6	3	1	16	4	68.8	-10.24	0.68
navi-spirit-katowice-2025-02-03	mirage	Spirit	chopper	3	6	1	52.4	0	7	6	5	0	17	2	48.1	-8.25	0.50
navi-spirit-katowice-2025-02-03	dust2	Natus Vincere	jL	4	2	5	79.2	0	20	16	5	0	17	8	92.7	7.55	1.61
navi-spirit-katowice-2025-02-03	dust2	Natus Vincere	w0nderful	4	1	2	79.2	0	13	3	5	1	14	1	79.4	-1.44	0.97
navi-spirit-katowice-2025-02-03	dust2	Natus Vincere	b1t	4	2	5	75.0	0	15	7	6	1	16	2	69.0	-2.67	0.92
navi-spirit-katowice-2025-02-03	dust2	Natus Vincere	Aleksib	0	1	1	79.2	0	11	4	7	3	14	3	40.0	-1.94	0.86
navi-spirit-katowice-2025-02-03	dust2	Natus Vincere	iM	0	6	4	50.0	0	11	4	3	0	14	1	46.2	-4.77	0.65
navi-spirit-katowice-2025-02-03	dust2	Spirit	donk	4	2	8	70.8	1	24	14	2	0	13	2	110.3	8.95	1.78
navi-spirit-katowice-2025-02-03	dust2	Spirit	sh1ro	4	1	6	79.2	0	20	8	9	3	13	4	92.9	3.83	1.37
navi-spirit-katowice-2025-02-03	dust2	Spirit	chopper	4	1	2	79.2	2	15	7	5	0	15	4	61.0	0.65	1.04
